mSetpoint
0.000,0.000,0.000,0.000,0.001,0.000,0.000,30.000
0.001,-0.000,0.000,0.000,0.001,0.010,0.300,30.000
0.006,-0.000,0.000,0.000,0.001,0.020,0.600,30.000
0.013,-0.000,0.001,0.000,0.001,0.030,0.900,30.000
0.024,-0.000,0.002,0.000,0.001,0.040,1.200,30.000
0.037,-0.000,0.003,0.000,0.001,0.050,1.500,30.000
0.054,-0.000,0.004,0.000,0.001,0.060,1.800,30.000
0.073,-0.000,0.006,0.000,0.001,0.070,2.100,30.000
0.096,-0.000,0.007,0.000,0.001,0.080,2.400,30.000
0.121,-0.000,0.009,0.000,0.001,0.090,2.700,30.000
0.150,-0.000,0.011,0.000,0.001,0.100,3.000,30.000
0.181,-0.000,0.014,0.000,0.001,0.110,3.300,30.000
0.216,-0.000,0.016,0.000,0.001,0.120,3.600,30.000
0.253,-0.000,0.019,0.000,0.001,0.130,3.900,30.000
0.294,-0.000,0.022,0.000,0.001,0.140,4.200,30.000
0.337,-0.000,0.026,0.000,0.001,0.150,4.500,30.000
0.384,-0.000,0.029,0.000,0.001,0.160,4.800,30.000
0.433,-0.000,0.033,0.001,0.001,0.170,5.100,30.000
0.486,-0.000,0.037,0.001,0.001,0.180,5.400,30.000
0.541,-0.000,0.041,0.001,0.001,0.190,5.700,30.000
0.600,-0.000,0.046,0.001,0.001,0.200,6.000,30.000
0.661,-0.000,0.050,0.001,0.001,0.210,6.300,30.000
0.726,-0.000,0.055,0.001,0.001,0.220,6.600,30.000
0.793,0.000,0.060,0.001,0.001,0.230,6.900,30.000
0.864,0.000,0.066,0.001,0.001,0.240,7.200,30.000
0.937,0.000,0.071,0.001,0.001,0.250,7.500,30.000
1.014,0.000,0.077,0.001,0.001,0.260,7.800,30.000
1.093,0.000,0.083,0.001,0.001,0.270,8.100,30.000
1.176,0.000,0.090,0.001,0.001,0.280,8.400,30.000
1.261,0.000,0.096,0.001,0.001,0.290,8.700,30.000
1.350,0.001,0.103,0.002,0.001,0.300,9.000,30.000
1.441,0.001,0.110,0.002,0.001,0.310,9.300,30.000
1.536,0.001,0.117,0.002,0.001,0.320,9.600,30.000
1.633,0.001,0.124,0.002,0.001,0.330,9.900,30.000
1.734,0.001,0.132,0.002,0.001,0.340,10.200,30.000
1.837,0.001,0.140,0.002,0.001,0.350,10.500,30.000
1.944,0.001,0.148,0.002,0.001,0.360,10.800,30.000
2.053,0.002,0.163,0.002,0.001,0.370,11.100,30.000
2.166,0.002,0.185,0.003,0.001,0.380,11.400,30.000
2.281,0.002,0.207,0.003,0.001,0.390,11.700,30.000
2.400,0.003,0.231,0.003,0.001,0.400,12.000,30.000
2.521,0.003,0.254,0.003,0.001,0.410,12.300,30.000
2.646,0.004,0.279,0.003,0.001,0.420,12.600,30.000
2.773,0.004,0.304,0.003,0.001,0.430,12.900,30.000
2.904,0.005,0.329,0.003,0.001,0.440,13.200,30.000
3.037,0.006,0.355,0.004,0.001,0.450,13.500,30.000
3.174,0.006,0.382,0.004,0.001,0.460,13.800,30.000
3.313,0.007,0.409,0.004,0.001,0.470,14.100,30.000
3.456,0.008,0.437,0.004,0.001,0.480,14.400,30.000
3.601,0.009,0.466,0.004,0.001,0.490,14.700,30.000
3.750,0.011,0.495,0.004,0.001,0.500,15.000,30.000
3.901,0.012,0.524,0.005,0.001,0.510,15.300,30.000
4.056,0.013,0.563,0.005,0.001,0.520,15.600,30.000
4.213,0.015,0.616,0.005,0.001,0.530,15.900,30.000
4.374,0.016,0.670,0.005,0.001,0.540,16.200,30.000
4.537,0.018,0.725,0.005,0.001,0.550,16.500,30.000
4.704,0.021,0.782,0.005,0.001,0.560,16.800,30.000
4.873,0.023,0.839,0.006,0.001,0.570,17.100,30.000
5.046,0.025,0.897,0.006,0.001,0.580,17.400,30.000
5.221,0.028,0.957,0.006,0.001,0.590,17.700,30.000
5.400,0.031,1.017,0.006,0.001,0.600,18.000,30.000
5.581,0.034,1.079,0.006,0.001,0.610,18.300,30.000
5.766,0.038,1.141,0.007,0.001,0.620,18.600,30.000
5.953,0.042,1.204,0.007,0.001,0.630,18.900,30.000
6.144,0.046,1.286,0.007,0.001,0.640,19.200,30.000
6.337,0.050,1.374,0.007,0.001,0.650,19.500,30.000
6.534,0.055,1.464,0.008,0.001,0.660,19.800,30.000
6.733,0.060,1.555,0.008,0.001,0.670,20.100,30.000
6.935,0.065,1.648,0.008,0.001,0.680,20.400,30.000
7.141,0.071,1.742,0.008,0.001,0.690,20.700,30.000
7.349,0.078,1.837,0.008,0.001,0.700,21.000,30.000
7.561,0.085,1.934,0.009,0.001,0.710,21.300,30.000
7.775,0.092,2.032,0.009,0.001,0.720,21.600,30.000
7.992,0.100,2.131,0.009,0.001,0.730,21.900,30.000
8.213,0.108,2.262,0.009,0.001,0.740,22.200,30.000
8.436,0.117,2.396,0.010,0.001,0.750,22.500,30.000
8.662,0.127,2.531,0.010,0.001,0.760,22.800,30.000
8.892,0.137,2.668,0.010,0.001,0.770,23.100,30.000
9.124,0.148,2.808,0.011,0.001,0.780,23.400,30.000
9.359,0.160,2.948,0.011,0.001,0.790,23.700,30.000
9.597,0.172,3.091,0.011,0.001,0.800,24.000,30.000
9.838,0.185,3.235,0.011,0.001,0.810,24.300,30.000
10.082,0.199,3.393,0.012,0.001,0.820,24.600,30.000
10.330,0.214,3.573,0.012,0.001,0.830,24.900,30.000
10.580,0.230,3.756,0.012,0.001,0.840,25.200,30.000
10.832,0.247,3.941,0.013,0.001,0.850,25.500,30.000
11.088,0.265,4.128,0.013,0.001,0.860,25.800,30.000
11.347,0.284,4.317,0.013,0.001,0.870,26.100,30.000
11.609,0.304,4.508,0.014,0.001,0.880,26.400,30.000
11.874,0.325,4.702,0.014,0.001,0.890,26.700,30.000
